slot,tbox,site,col_x,row_y,GOF,thickness,x,y,radius
6,TBOX4,56,4,-3,0.989,5371.04,88.466,-92.607,128.0714238
6,TBOX4,57,5,-3,0.99,5348.8,112.405,-92.592,145.6302252
6,TBOX4,58,-3,-4,0.988,5469.78,-79.166,-122.11,145.5269997
6,TBOX4,59,-2,-4,0.988,5384.6,-55.212,-122.135,134.0347834
6,TBOX4,60,-1,-4,0.99,5481.67,-31.254,-122.132,126.0675927
6,TBOX4,61,0,-4,0.989,5451.14,-7.307,-122.125,122.3434014
6,TBOX4,62,1,-4,0.99,5423.27,16.642,-122.109,123.2378353
6,TBOX4,63,2,-4,0.989,5355.45,40.583,-122.103,128.6705969
6,TBOX4,64,3,-4,0.987,5288.89,64.516,-122.09,138.0879515
6,TBOX3,1,-1,5,0.964,3781.03,-31.362,143.244,146.63703
6,TBOX3,2,0,5,0.963,3765.54,-7.421,143.23,143.4221187
6,TBOX3,3,1,5,0.956,3828.29,16.525,143.222,144.172178
6,TBOX3,4,-3,4,0.972,3626.87,-79.247,113.756,138.6380703
6,TBOX3,5,-2,4,0.978,3638.45,-55.307,113.753,126.4856089
6,TBOX3,6,-1,4,0.981,3625.61,-31.364,113.744,117.9889742
6,TBOX3,7,0,4,0.982,3593.04,-7.421,113.743,113.9848292
6,TBOX3,8,1,4,0.982,3610.11,16.525,113.743,114.9371379
6,TBOX3,9,2,4,0.98,3647.48,40.465,113.735,120.7189565
6,TBOX3,10,3,4,0.977,3620.49,64.402,113.735,130.7029756
6,TBOX3,11,4,4,0.965,3803,88.334,113.732,144.0064699
6,TBOX3,12,-4,3,0.975,3654.87,-103.195,84.28,133.2378566
6,TBOX3,13,-2,3,0.983,3574.61,-55.309,84.262,100.7927087
6,TBOX3,14,0,3,0.983,3458.72,-7.419,84.255,84.58100606
6,TBOX3,15,2,3,0.983,3504.94,40.457,84.257,93.46662986
6,TBOX3,16,4,3,0.978,3703.5,88.337,84.262,122.0799337
6,TBOX3,17,5,3,0.969,3716.36,112.281,84.258,140.3796051
6,TBOX3,18,-5,2,0.972,3666.95,-127.144,54.795,138.448867
6,TBOX3,19,-3,2,0.982,3576.08,-79.255,54.783,96.34589827
6,TBOX3,20,-1,2,0.98,3534.41,-31.361,54.775,63.11745358
6,TBOX3,21,1,2,0.979,3555.22,16.509,54.769,57.20306322
6,TBOX3,22,3,2,0.981,3501.76,64.393,54.782,84.54304213
6,TBOX3,23,5,2,0.976,3673.88,112.29,54.757,124.9294727
6,TBOX3,24,6,2,0.923,2452.24,136.241,54.76,146.8341503
6,TBOX3,25,-5,1,0.977,3633.29,-127.153,25.307,129.6469423
6,TBOX3,26,-4,1,0.981,3663.07,-103.206,25.297,106.2610778
6,TBOX3,27,-2,1,0.981,3582.04,-55.309,25.293,60.81793592
6,TBOX3,28,0,1,0.97,3832.65,-7.433,25.293,26.36257457
6,TBOX3,29,2,1,0.975,3643.35,40.449,25.295,47.70700814
6,TBOX3,30,4,1,0.981,3532,88.344,25.274,91.88817885
6,TBOX3,31,6,1,0.967,3691.68,136.247,25.287,138.5737254
6,TBOX3,32,-5,0,0.977,3677.8,-127.157,-4.184,127.225817
6,TBOX3,33,-3,0,0.982,3548.9,-79.262,-4.192,79.37277561
6,TBOX3,34,-1,0,0.97,3823.58,-31.386,-4.186,31.66391625
6,TBOX3,35,1,0,0.969,3852.61,16.506,-4.181,17.02729565
6,TBOX3,36,3,0,0.978,3545.22,64.403,-4.208,64.54032594
6,TBOX3,37,5,0,0.976,3664.84,112.298,-4.193,112.3762522
6,TBOX3,38,6,0,0.966,3687.46,136.243,-4.176,136.3069845
6,TBOX3,39,-5,-1,0.975,3626.4,-127.156,-33.667,131.537505
6,TBOX3,40,-4,-1,0.981,3638.87,-103.209,-33.676,108.5641315
6,TBOX3,41,-2,-1,0.979,3577.44,-55.335,-33.673,64.77525109
6,TBOX3,42,0,-1,0.971,3802.28,-7.44,-33.664,34.47634691
6,TBOX3,43,2,-1,0.974,3637.26,40.464,-33.687,52.65120383
6,TBOX3,44,4,-1,0.979,3552.91,88.356,-33.672,94.55467371
6,TBOX3,45,6,-1,0.962,3723.1,136.233,-33.653,140.3280253
6,TBOX3,46,-5,-2,0.963,3783.98,-127.159,-63.152,141.9774151
6,TBOX3,47,-3,-2,0.981,3609.38,-79.283,-63.153,101.361213
6,TBOX3,48,-1,-2,0.982,3557.25,-31.385,-63.148,70.51728957
6,TBOX3,49,1,-2,0.979,3551.52,16.517,-63.166,65.28977596
6,TBOX3,50,3,-2,0.98,3529.81,64.413,-63.144,90.20088306
6,TBOX3,51,5,-2,0.971,3706.11,112.293,-63.134,128.8239877
6,TBOX3,52,-4,-3,0.967,3677.02,-103.235,-92.63,138.7003321
6,TBOX3,53,-2,-3,0.98,3646.86,-55.333,-92.634,107.9018019
6,TBOX3,54,0,-3,0.983,3530.52,-7.424,-92.651,92.94796166
6,TBOX3,55,2,-3,0.981,3564.1,40.465,-92.629,101.0818869
6,TBOX3,56,4,-3,0.971,3685.9,88.345,-92.607,127.9878724
6,TBOX3,57,5,-3,0.899,3955.63,112.281,-92.592,145.5345369
6,TBOX3,58,-3,-4,0.959,3970.67,-79.287,-122.106,145.5895038
6,TBOX3,59,-2,-4,0.971,3686.64,-55.333,-122.132,134.0819388
6,TBOX3,60,-1,-4,0.976,3683.92,-31.377,-122.131,126.097174
6,TBOX3,61,0,-4,0.976,3653.89,-7.427,-122.123,122.3486308
6,TBOX3,62,1,-4,0.976,3645.96,16.521,-122.109,123.2215538
6,TBOX3,63,2,-4,0.974,3621.58,40.464,-122.102,128.6321643
6,TBOX3,64,3,-4,0.967,3657.11,64.395,-122.087,138.0288071
7,TBOX4,1,-1,5,0.994,5304.98,-31.375,143.17,146.5675255
7,TBOX4,2,0,5,0.993,5304.51,-7.434,143.158,143.3508888
7,TBOX4,3,1,5,0.994,5286.59,16.511,143.15,144.099048
7,TBOX4,4,-3,4,0.995,5221.15,-79.26,113.685,138.5872535
7,TBOX4,5,-2,4,0.996,5283.3,-55.318,113.681,126.4256734
7,TBOX4,6,-1,4,0.997,5314.42,-31.376,113.67,117.9208305
7,TBOX4,7,0,4,0.997,5331.11,-7.432,113.67,113.9127013
7,TBOX4,8,1,4,0.997,5333.23,16.514,113.667,114.860346
7,TBOX4,9,2,4,0.997,5342.47,40.454,113.664,120.6483776
7,TBOX4,10,3,4,0.995,5271.95,64.39,113.663,130.6344123
7,TBOX4,11,4,4,0.993,5264.06,88.322,113.663,143.9446187
7,TBOX4,12,-4,3,0.994,5274.86,-103.206,84.206,133.1995829
7,TBOX4,13,-2,3,0.998,5264.78,-55.317,84.186,100.7335748
7,TBOX4,14,0,3,0.998,5216.29,-7.43,84.18,84.50726182
7,TBOX4,15,2,3,0.997,5225.66,40.443,84.185,93.39566625
7,TBOX4,16,4,3,0.993,5381.17,88.328,84.187,122.0216643
7,TBOX4,17,5,3,0.989,5278.79,112.267,84.185,140.3246005
7,TBOX4,18,-5,2,0.991,5275.41,-127.155,54.72,138.4293048
7,TBOX4,19,-3,2,0.999,5275.57,-79.266,54.71,96.31346145
7,TBOX4,20,-1,2,0.998,5311.47,-31.373,54.698,63.05661213
7,TBOX4,21,1,2,0.998,5316.1,16.497,54.698,57.13162183
7,TBOX4,22,3,2,0.997,5191.06,64.379,54.71,84.48573691
7,TBOX4,23,5,2,0.993,5353.4,112.278,54.686,124.887581
7,TBOX4,25,-5,1,0.994,5271.87,-127.164,25.234,129.6435022
7,TBOX4,26,-4,1,0.997,5323.5,-103.215,25.223,106.252228
7,TBOX4,27,-2,1,0.999,5284.43,-55.32,25.221,60.79803649
7,TBOX4,28,0,1,0.997,5511.36,-7.444,25.221,26.29661531
7,TBOX4,29,2,1,0.997,5365.84,40.438,25.221,47.65847968
7,TBOX4,30,4,1,0.997,5229.38,88.334,25.202,91.85878488
7,TBOX4,31,6,1,0.989,5293.68,136.234,25.218,138.548368
7,TBOX4,32,-5,0,0.995,5305.03,-127.167,-4.258,127.2382665
7,TBOX4,33,-3,0,0.998,5285.3,-79.27,-4.266,79.38470669
7,TBOX4,34,-1,0,0.997,5536.91,-31.395,-4.26,31.6827023
7,TBOX4,35,1,0,0.996,5525.74,16.497,-4.255,17.03690212
7,TBOX4,36,3,0,0.997,5263.98,64.393,-4.28,64.53508231
7,TBOX4,37,5,0,0.994,5344.26,112.288,-4.263,112.368893
7,TBOX4,38,6,0,0.989,5285.76,136.231,-4.248,136.2972152
7,TBOX4,39,-5,-1,0.995,5228.35,-127.168,-33.74,131.5678069
7,TBOX4,40,-4,-1,0.996,5313.57,-103.219,-33.75,108.5966135
7,TBOX4,41,-2,-1,0.998,5308.91,-55.345,-33.746,64.82176749
7,TBOX4,42,0,-1,0.996,5496.65,-7.453,-33.735,34.54847947
7,TBOX4,43,2,-1,0.998,5323.05,40.452,-33.756,52.68616365
7,TBOX4,44,4,-1,0.994,5223.63,88.348,-33.742,94.57215059
7,TBOX4,45,6,-1,0.989,5165.99,136.224,-33.724,140.336333
7,TBOX4,46,-5,-2,0.995,5220.15,-127.17,-63.225,142.0197505
7,TBOX4,47,-3,-2,0.996,5286.7,-79.292,-63.228,101.4149952
7,TBOX4,48,-1,-2,0.997,5305.09,-31.394,-63.223,70.58846198
7,TBOX4,49,1,-2,0.996,5275.71,16.508,-63.239,65.35813021
7,TBOX4,50,3,-2,0.995,5234.06,64.404,-63.217,90.24557776
7,TBOX4,51,5,-2,0.992,5262.3,112.282,-63.201,128.8472504
7,TBOX4,52,-4,-3,0.993,5198.77,-103.245,-92.702,138.7558677
7,TBOX4,53,-2,-3,0.994,5362.01,-55.347,-92.702,107.9673618
7,TBOX4,54,0,-3,0.994,5254.12,-7.436,-92.722,93.01969351
7,TBOX4,55,2,-3,0.993,5283.25,40.455,-92.7,101.1429534
7,TBOX4,56,4,-3,0.991,5235.06,88.334,-92.676,128.0302173
7,TBOX4,57,5,-3,0.988,5150.16,112.273,-92.66,145.5716392
7,TBOX4,58,-3,-4,0.989,5461.57,-79.296,-122.181,145.6573114
7,TBOX4,59,-2,-4,0.989,5325.92,-55.344,-122.204,134.1520628
7,TBOX4,60,-1,-4,0.991,5365.18,-31.387,-122.202,126.1684294
7,TBOX4,61,0,-4,0.991,5339.15,-7.436,-122.197,122.4230407
7,TBOX4,62,1,-4,0.992,5311.77,16.512,-122.181,123.2916984
7,TBOX4,63,2,-4,0.991,5243.55,40.455,-122.172,128.6957832
7,TBOX4,64,3,-4,0.988,5180.34,64.385,-122.159,138.0878326
7,TBOX3,1,-1,5,0.965,3724.24,-31.495,143.171,146.5942368
7,TBOX3,2,0,5,0.962,3738.09,-7.555,143.159,143.3582132
7,TBOX3,3,1,5,0.966,3675.07,16.391,143.151,144.0863411
7,TBOX3,4,-3,4,0.971,3566.61,-79.38,113.686,138.656738
7,TBOX3,5,-2,4,0.982,3448.23,-55.439,113.681,126.4786641
7,TBOX3,6,-1,4,0.984,3468.54,-31.498,113.675,117.958169
7,TBOX3,7,0,4,0.985,3455.72,-7.553,113.67,113.9206597
7,TBOX3,8,1,4,0.985,3472.4,16.393,113.67,114.845981
7,TBOX3,9,2,4,0.985,3489.71,40.333,113.665,120.608802
7,TBOX3,10,3,4,0.983,3436.73,64.269,113.666,130.577425
7,TBOX3,11,4,4,0.972,3627.96,88.202,113.663,143.8710199
7,TBOX3,12,-4,3,0.978,3495.07,-103.326,84.206,133.2925831
7,TBOX3,13,-2,3,0.985,3361.04,-55.439,84.19,100.8039623
7,TBOX3,14,0,3,0.985,3223.1,-7.551,84.183,84.52097426
7,TBOX3,15,2,3,0.985,3262.08,40.322,84.186,93.34423539
7,TBOX3,16,4,3,0.984,3554.38,88.206,84.192,121.9368332
7,TBOX3,17,5,3,0.975,3580.48,112.147,84.186,140.2292131
7,TBOX3,18,-5,2,0.968,3662.75,-127.275,54.721,138.5399346
7,TBOX3,19,-3,2,0.986,3348.18,-79.387,54.711,96.41363643
7,TBOX3,20,-1,2,0.984,3339.66,-31.492,54.7,63.11763671
7,TBOX3,21,1,2,0.983,3351.83,16.377,54.698,57.0970869
7,TBOX3,22,3,2,0.985,3228.58,64.258,54.711,84.39421832
7,TBOX3,23,5,2,0.983,3521.96,112.158,54.685,124.7792699
7,TBOX3,24,6,2,0.903,2414.69,136.111,54.691,146.687797
7,TBOX3,25,-5,1,0.979,3489.13,-127.284,25.234,129.7612092
7,TBOX3,26,-4,1,0.985,3473.93,-103.334,25.224,106.3680673
7,TBOX3,27,-2,1,0.983,3366.63,-55.443,25.222,60.91038937
7,TBOX3,28,0,1,0.979,3596.32,-7.565,25.221,26.33112352
7,TBOX3,29,2,1,0.981,3433.95,40.317,25.225,47.55797634
7,TBOX3,30,4,1,0.985,3320.61,88.212,25.206,91.74257125
7,TBOX3,31,6,1,0.975,3582.57,136.113,25.221,138.4299375
7,TBOX3,32,-5,0,0.981,3510.35,-127.288,-4.257,127.3591653
7,TBOX3,33,-3,0,0.985,3322.54,-79.391,-4.266,79.50553212
7,TBOX3,34,-1,0,0.978,3627.64,-31.515,-4.26,31.8016167
7,TBOX3,35,1,0,0.977,3609.81,16.376,-4.254,16.91951217
7,TBOX3,36,3,0,0.983,3316.81,64.273,-4.279,64.41528056
7,TBOX3,37,5,0,0.982,3545.25,112.166,-4.259,112.2468291
7,TBOX3,38,6,0,0.976,3558.78,136.112,-4.244,136.1781483
7,TBOX3,39,-5,-1,0.98,3447.17,-127.287,-33.739,131.6825747
7,TBOX3,40,-4,-1,0.985,3473.47,-103.338,-33.746,108.7084852
7,TBOX3,41,-2,-1,0.983,3356.5,-55.464,-33.742,64.92132053
7,TBOX3,42,0,-1,0.979,3602.77,-7.573,-33.734,34.57358941
