recette,EPI_TH,RTO_TEMP,SUBDOE,PO2,TPS,wafer,site,meas_box,box,si,sige,xge,oxide,gof
bilayer si/sige,60,1050,RTO,375,45.5,6,3,SIMS,249.573,91.836,27.649,24.0035,85.607,0.65132
bilayer si/sige,60,1050,RTO,375,45.5,6,3,TBOX7,250.999,66.154,56.645,20.6576,76.415,0.76749
bilayer si/sige,60,1050,RTO,375,45.5,6,4,SIMS,248.906,90.539,28.219,24.0036,84.905,0.65022
bilayer si/sige,60,1050,RTO,375,45.5,6,4,TBOX7,250.165,66.579,56.174,20.7951,75.837,0.76786
bilayer si/sige,60,1050,RTO,375,45.5,6,5,SIMS,249.282,94.284,28.752,23.8201,85.819,0.65448
bilayer si/sige,60,1050,RTO,375,45.5,6,5,TBOX7,250.97,69.514,57.087,20.528,76.792,0.77463
bilayer si/sige,60,1050,RTO,375,45.5,6,6,SIMS,249.324,94.14,26.499,23.5027,85.437,0.68505
bilayer si/sige,60,1050,RTO,375,45.5,6,6,TBOX7,250.09,67.777,57.406,20.5432,76.786,0.77024
bilayer si/sige,60,1050,RTO,375,45.5,6,7,SIMS,,,,,,0.22474
bilayer si/sige,60,1050,RTO,375,45.5,6,7,TBOX7,250.42,62.59,56.848,18.6764,76.832,0.75506
bilayer si/sige,60,1050,RTO,375,45.5,6,8,SIMS,250.471,90.81,25.701,23.3583,85.43,0.68851
bilayer si/sige,60,1050,RTO,375,45.5,6,8,TBOX7,250.63,64.4,54.457,18.4524,76.875,0.75637
bilayer si/sige,60,1050,RTO,375,45.5,6,9,SIMS,248.384,91.215,28.981,24.0145,85.957,0.64218
bilayer si/sige,60,1050,RTO,375,45.5,6,9,TBOX7,249.726,68.314,53.115,20.5339,76.323,0.76226
bilayer si/sige,60,1050,RTO,740,45.5,7,1,SIMS,249.62,86.107,29.105,24.1539,95.754,0.66841
bilayer si/sige,60,1050,RTO,740,45.5,7,1,TBOX7,248.975,59.371,53.874,21.7267,96.358,0.73751
bilayer si/sige,60,1050,RTO,740,45.5,7,2,SIMS,249.577,86.106,29.425,24.1633,94.988,0.66401
bilayer si/sige,60,1050,RTO,740,45.5,7,2,TBOX7,249.437,60.097,54.877,21.7266,97.181,0.73805
bilayer si/sige,60,1050,RTO,740,45.5,7,3,SIMS,250.522,86.625,28.513,24.1415,94.027,0.67326
bilayer si/sige,60,1050,RTO,740,45.5,7,3,TBOX7,250.605,59.444,54.446,21.6448,97.531,0.73422
bilayer si/sige,60,1050,RTO,740,45.5,7,4,SIMS,249.659,85.106,29.019,24.1733,95.009,0.667
bilayer si/sige,60,1050,RTO,740,45.5,7,4,TBOX7,249.392,58.392,54.143,21.7659,96.682,0.73104
bilayer si/sige,60,1050,RTO,740,45.5,7,5,SIMS,250.534,86.191,29.466,24.0676,96.588,0.66063
bilayer si/sige,60,1050,RTO,740,45.5,7,5,TBOX7,250.5,60.412,54.345,21.5803,97.862,0.73718
bilayer si/sige,60,1050,RTO,740,45.5,7,6,SIMS,250.681,88.185,27.18,23.7871,95.142,0.69871
bilayer si/sige,60,1050,RTO,740,45.5,7,6,TBOX7,249.907,59.809,54.507,21.5843,97.83,0.73629
bilayer si/sige,60,1050,RTO,740,45.5,7,7,SIMS,,,,,,0.11798
bilayer si/sige,60,1050,RTO,740,45.5,7,7,TBOX7,250.608,60.763,48.744,21.3987,97.39,0.72703
bilayer si/sige,60,1050,RTO,740,45.5,7,8,SIMS,251.831,86.681,26.477,23.6028,94.962,0.70463
bilayer si/sige,60,1050,RTO,740,45.5,7,8,TBOX7,251.265,62.195,46.956,21.327,97.239,0.71951
bilayer si/sige,60,1050,RTO,740,45.5,7,9,SIMS,249.254,83.608,29.695,24.233,95.867,0.64926
bilayer si/sige,60,1050,RTO,740,45.5,7,9,TBOX7,249.61,58.839,50.873,21.6106,97.09,0.7253
bilayer si/sige,60,1050,RTO,10,45.5,8,1,SIMS,248.305,92.693,28.154,23.6421,82.969,0.65435
bilayer si/sige,60,1050,RTO,10,45.5,8,1,TBOX7,248.811,63.336,61.995,18.5741,70.311,0.78308
bilayer si/sige,60,1050,RTO,10,45.5,8,2,SIMS,248.323,94.389,28.779,23.5225,83.027,0.6551
bilayer si/sige,60,1050,RTO,10,45.5,8,2,TBOX7,249.484,64.606,63.234,18.58,70.86,0.78582
bilayer si/sige,60,1050,RTO,10,45.5,8,3,SIMS,249.79,93.698,27.662,23.5752,82.783,0.65708
bilayer si/sige,60,1050,RTO,10,45.5,8,3,TBOX7,250.621,64.813,62.629,18.4393,71.052,0.78601
bilayer si/sige,60,1050,RTO,10,45.5,8,4,SIMS,248.007,92.384,28.124,23.622,82.289,0.65306
bilayer si/sige,60,1050,RTO,10,45.5,8,4,TBOX7,249.07,63.265,62.151,18.6001,70.667,0.77943
bilayer si/sige,60,1050,RTO,10,45.5,8,5,SIMS,249.028,93.179,28.289,23.5909,82.968,0.64957
bilayer si/sige,60,1050,RTO,10,45.5,8,5,TBOX7,250.24,64.311,62.574,18.4005,71.203,0.78593
bilayer si/sige,60,1050,RTO,10,45.5,8,6,SIMS,249.64,95.782,26.56,23.0138,82.497,0.69301
bilayer si/sige,60,1050,RTO,10,45.5,8,6,TBOX7,250.031,65.088,63.035,18.383,71.238,0.78652
bilayer si/sige,60,1050,RTO,10,45.5,8,7,SIMS,,,,,,0.38673
bilayer si/sige,60,1050,RTO,10,45.5,8,7,TBOX7,250.747,66.51,57.057,18.1571,71.155,0.77937
bilayer si/sige,60,1050,RTO,10,45.5,8,8,SIMS,251.041,93.297,25.709,22.9446,82.658,0.69724
bilayer si/sige,60,1050,RTO,10,45.5,8,8,TBOX7,251.212,66.746,54.619,18.0018,70.993,0.77412
bilayer si/sige,60,1050,RTO,10,45.5,8,9,SIMS,247.651,91.946,28.749,23.7096,82.755,0.6442
bilayer si/sige,60,1050,RTO,10,45.5,8,9,TBOX7,249.479,64.025,58.709,18.3312,70.845,0.7752
bilayer si/sige,60,1050,RTO,560,80,9,1,SIMS,249.267,80.289,33.078,22.522,99.684,0.68648
bilayer si/sige,60,1050,RTO,560,80,9,1,TBOX7,247.989,43.936,65.209,18.3548,107.425,0.72674
bilayer si/sige,60,1050,RTO,560,80,9,2,SIMS,249.751,81.315,33.776,22.448,101.047,0.68081
bilayer si/sige,60,1050,RTO,560,80,9,2,TBOX7,248.603,45.262,66.417,18.378,108.407,0.72926
bilayer si/sige,60,1050,RTO,560,80,9,3,SIMS,250.594,78.77,32.304,22.6169,100.322,0.67466
bilayer si/sige,60,1050,RTO,560,80,9,3,TBOX7,249.692,42.126,65.627,18.3107,108.803,0.71744
bilayer si/sige,60,1050,RTO,560,80,9,4,SIMS,248.997,79.998,33.128,22.5128,99.897,0.67915
bilayer si/sige,60,1050,RTO,560,80,9,4,TBOX7,247.906,44.376,65.505,18.3784,107.877,0.72228
bilayer si/sige,60,1050,RTO,560,80,9,5,SIMS,249.95,81.464,33.576,22.425,100.857,0.68102
bilayer si/sige,60,1050,RTO,560,80,9,5,TBOX7,249.2,45.219,65.817,18.2319,109.367,0.72607
bilayer si/sige,60,1050,RTO,560,80,9,6,SIMS,250.988,82.578,31.263,22.0177,100.747,0.70097
bilayer si/sige,60,1050,RTO,560,80,9,6,TBOX7,249.13,45.479,65.951,18.2272,109.424,0.7272
bilayer si/sige,60,1050,RTO,560,80,9,7,TBOX7,249.852,44.614,59.563,18.0479,108.526,0.70764
