site,wafer,time_dep,geh4,b2h6,th_sigeb.xrr,th_sigeb.xrd,xge.xrd,xge.sims,b_conc.sims,th_sigeb.ell, N_1(240.0nm), N_1(245.0nm), N_1(250.0nm), N_1(255.0nm), N_1(260.0nm), N_1(265.0nm), N_1(270.0nm), N_1(275.0nm), N_1(280.0nm), N_1(285.0nm), N_1(290.0nm), N_1(295.0nm), N_1(300.0nm), N_1(305.0nm), N_1(310.0nm), N_1(315.0nm), N_1(320.0nm), N_1(325.0nm), N_1(330.0nm), N_1(335.0nm), N_1(340.0nm), N_1(345.0nm), N_1(350.0nm), N_1(355.0nm), N_1(360.0nm), N_1(365.0nm), N_1(370.0nm), N_1(375.0nm), N_1(380.0nm), N_1(385.0nm), N_1(390.0nm), N_1(395.0nm), N_1(400.0nm), N_1(405.0nm), N_1(410.0nm), N_1(415.0nm), N_1(420.0nm), N_1(425.0nm), N_1(430.0nm), N_1(435.0nm), N_1(440.0nm), N_1(445.0nm), N_1(450.0nm), N_1(455.0nm), N_1(460.0nm), N_1(465.0nm), N_1(470.0nm), N_1(475.0nm), N_1(480.0nm), N_1(485.0nm), N_1(490.0nm), N_1(495.0nm), N_1(500.0nm), N_1(505.0nm), N_1(510.0nm), N_1(515.0nm), N_1(520.0nm), N_1(525.0nm), N_1(530.0nm), N_1(535.0nm), N_1(540.0nm), N_1(545.0nm), N_1(550.0nm), N_1(555.0nm), N_1(560.0nm), N_1(565.0nm), N_1(570.0nm), N_1(575.0nm), N_1(580.0nm), N_1(585.0nm), N_1(590.0nm), N_1(595.0nm), N_1(600.0nm), N_1(605.0nm), N_1(610.0nm), N_1(615.0nm), N_1(620.0nm), N_1(625.0nm), N_1(630.0nm), N_1(635.0nm), N_1(640.0nm), N_1(645.0nm), N_1(650.0nm), N_1(655.0nm), N_1(660.0nm), N_1(665.0nm), N_1(670.0nm), N_1(675.0nm), N_1(680.0nm), N_1(685.0nm), N_1(690.0nm), N_1(695.0nm), N_1(700.0nm), N_1(705.0nm), N_1(710.0nm), N_1(715.0nm), N_1(720.0nm), N_1(725.0nm), N_1(730.0nm), N_1(735.0nm), N_1(740.0nm), N_1(745.0nm), N_1(750.0nm), N_1(755.0nm), N_1(760.0nm), N_1(765.0nm), N_1(770.0nm), N_1(775.0nm), N_1(780.0nm), K_1(250.0nm), K_1(255.0nm), K_1(260.0nm), K_1(265.0nm), K_1(270.0nm), K_1(275.0nm), K_1(280.0nm), K_1(285.0nm), K_1(290.0nm), K_1(295.0nm), K_1(300.0nm), K_1(305.0nm), K_1(310.0nm), K_1(315.0nm), K_1(320.0nm), K_1(325.0nm), K_1(330.0nm), K_1(335.0nm), K_1(340.0nm), K_1(345.0nm), K_1(350.0nm), K_1(355.0nm), K_1(360.0nm), K_1(365.0nm), K_1(370.0nm), K_1(375.0nm), K_1(380.0nm), K_1(385.0nm), K_1(390.0nm), K_1(395.0nm), K_1(400.0nm), K_1(405.0nm), K_1(410.0nm), K_1(415.0nm), K_1(420.0nm), K_1(425.0nm), K_1(430.0nm), K_1(435.0nm), K_1(440.0nm), K_1(445.0nm), K_1(450.0nm), K_1(455.0nm), K_1(460.0nm), K_1(465.0nm), K_1(470.0nm), K_1(475.0nm), K_1(480.0nm), K_1(485.0nm), K_1(490.0nm), K_1(495.0nm), K_1(500.0nm), K_1(505.0nm), K_1(510.0nm), K_1(515.0nm), K_1(520.0nm), K_1(525.0nm), K_1(530.0nm), K_1(535.0nm), K_1(540.0nm), K_1(545.0nm), K_1(550.0nm), K_1(555.0nm), K_1(560.0nm), K_1(565.0nm), K_1(570.0nm), K_1(575.0nm), K_1(580.0nm), K_1(585.0nm), K_1(590.0nm), K_1(595.0nm), K_1(600.0nm), K_1(605.0nm), K_1(610.0nm), K_1(615.0nm), K_1(620.0nm), K_1(625.0nm), K_1(630.0nm), K_1(635.0nm), K_1(640.0nm), K_1(645.0nm), K_1(650.0nm), K_1(655.0nm), K_1(660.0nm), K_1(665.0nm), K_1(670.0nm), K_1(675.0nm), K_1(680.0nm), K_1(685.0nm), K_1(690.0nm), K_1(695.0nm), K_1(700.0nm), K_1(705.0nm), K_1(710.0nm), K_1(715.0nm), K_1(720.0nm), K_1(725.0nm), K_1(730.0nm), K_1(735.0nm), K_1(740.0nm), K_1(745.0nm), K_1(750.0nm), K_1(755.0nm), K_1(760.0nm), K_1(765.0nm), K_1(770.0nm), K_1(775.0nm), K_1(780.0nm)
13,7,425,690,150,203.978,198.62,31.304,35.53,4.76E+20,195.347,1.75689,1.78761,1.84569,1.93169,2.04783,2.20674,2.41963,2.70879,3.11202,3.60624,4.06917,4.3909,4.56582,4.64509,4.67632,4.68862,4.6972,4.70936,4.72829,4.75509,4.78968,4.83133,4.87883,4.93066,4.98504,5.04008,5.09383,5.14452,5.19065,5.23126,5.26599,5.29521,5.31998,5.34188,5.36256,5.38301,5.40233,5.41647,5.41827,5.40021,5.35895,5.29765,5.22389,5.14561,5.06841,4.99528,4.92727,4.86446,4.80647,4.7528,4.70294,4.65645,4.61295,4.57214,4.53373,4.49752,4.46329,4.4309,4.40019,4.37104,4.34332,4.31694,4.29181,4.26785,4.24496,4.22309,4.20218,4.18216,4.16298,4.14458,4.12694,4.10999,4.0937,4.07804,4.06298,4.04847,4.03449,4.02102,4.00802,3.99548,3.98337,3.97167,3.96036,3.94942,3.93884,3.92859,3.91867,3.90905,3.89973,3.89069,3.88193,3.87342,3.86516,3.85713,3.84934,3.84176,3.83439,3.82722,3.82025,3.81346,3.80686,3.80042,3.79415,3.78804,3.78209,3.77628,3.77062,3.76509,3.7597,3.58108,3.74267,3.91936,4.11043,4.30759,4.50455,4.65413,4.65697,4.46512,4.15446,3.83426,3.56099,3.34445,3.17604,3.04389,2.93761,2.84902,2.77187,2.70133,2.63365,2.56588,2.49577,2.42171,2.34272,2.25843,2.16911,2.07553,1.97893,1.88073,1.78227,1.68452,1.58759,1.49043,1.3905,1.28408,1.16759,1.0404,0.90724,0.77758,0.66107,0.56326,0.48457,0.42225,0.37266,0.33252,0.29933,0.27134,0.24732,0.22642,0.20805,0.19177,0.17724,0.16423,0.15252,0.14195,0.13237,0.12368,0.11577,0.10855,0.10195,0.09591,0.09036,0.08526,0.08056,0.07622,0.0722,0.06848,0.06503,0.06182,0.05884,0.05605,0.05345,0.05102,0.04874,0.0466,0.0446,0.04271,0.04093,0.03925,0.03766,0.03616,0.03474,0.03339,0.03211,0.03089,0.02973,0.02863,0.02758,0.02657,0.02561,0.02469,0.0238,0.02296,0.02214,0.02136,0.02061,0.01989,0.01919,0.01851,0.01786,0.01724,0.01663,0.01604,0.01547,0.01495,0.01444,0.01395
1,8,425,690,150,205.494,201.89,30.697,34.82,5.06E+20,197.851,1.75956,1.78947,1.84436,1.92774,2.0451,2.20452,2.41436,2.70272,3.10818,3.60361,4.06591,4.38769,4.5642,4.64575,4.67916,4.69321,4.70303,4.71597,4.73534,4.76231,4.79691,4.83846,4.88586,4.93765,4.99214,5.04746,5.10173,5.15315,5.20021,5.24185,5.2776,5.30768,5.33295,5.35479,5.37467,5.39342,5.41006,5.42058,5.41808,5.39554,5.35037,5.28637,5.2113,5.1328,5.05602,4.98352,4.91617,4.85393,4.79643,4.74317,4.69368,4.64753,4.60436,4.56385,4.52575,4.48982,4.45588,4.42375,4.39329,4.36437,4.33687,4.3107,4.28576,4.26197,4.23925,4.21753,4.19675,4.17685,4.15778,4.1395,4.12194,4.10508,4.08888,4.07329,4.05829,4.04385,4.02993,4.0165,4.00355,3.99106,3.97898,3.96732,3.95604,3.94513,3.93458,3.92436,3.91446,3.90486,3.89556,3.88655,3.87779,3.8693,3.86105,3.85304,3.84526,3.83769,3.83034,3.82318,3.81622,3.80944,3.80284,3.79641,3.79015,3.78405,3.7781,3.7723,3.76664,3.76112,3.75573,3.57986,3.74323,3.92181,4.11097,4.3082,4.50855,4.65989,4.66205,4.47035,4.16145,3.84291,3.57025,3.35334,3.18398,3.0506,2.94302,2.85319,2.77494,2.70349,2.63508,2.56678,2.49632,2.42202,2.34284,2.25833,2.16864,2.07445,1.97687,1.87724,1.77689,1.67675,1.57703,1.47682,1.37384,1.26466,1.14613,1.01802,0.88544,0.75783,0.64437,0.54981,0.47399,0.4139,0.36592,0.32693,0.29461,0.2673,0.24384,0.22344,0.2055,0.18961,0.17542,0.16271,0.15126,0.14091,0.13152,0.12299,0.11521,0.1081,0.10159,0.09562,0.09013,0.08508,0.08041,0.0761,0.07211,0.06841,0.06497,0.06178,0.0588,0.05602,0.05342,0.05099,0.04871,0.04657,0.04456,0.04267,0.04089,0.03921,0.03762,0.03612,0.0347,0.03335,0.03207,0.03086,0.0297,0.0286,0.02754,0.02654,0.02558,0.02466,0.02378,0.02294,0.02213,0.02135,0.0206,0.01988,0.01919,0.01852,0.01788,0.01725,0.01665,0.01606,0.0155,0.01498,0.01448,0.014
5,8,425,690,150,206.338,201.51,30.914,35.13,4.94E+20,198.072,1.75788,1.78849,1.84424,1.9279,2.04453,2.20387,2.41483,2.70362,3.10877,3.60437,4.06726,4.38917,4.56519,4.64594,4.67856,4.69192,4.70122,4.7138,4.73294,4.7598,4.79438,4.836,4.88353,4.93548,4.99012,5.04558,5.09993,5.15137,5.19836,5.23986,5.27542,5.30529,5.33042,5.35225,5.37234,5.3916,5.40908,5.42074,5.4195,5.39813,5.35379,5.29021,5.21521,5.13657,5.05958,4.98688,4.91936,4.85699,4.79938,4.74602,4.69645,4.65021,4.60696,4.56637,4.52818,4.49217,4.45814,4.42594,4.39541,4.36642,4.33887,4.31264,4.28765,4.26381,4.24105,4.2193,4.19848,4.17856,4.15947,4.14116,4.12359,4.10671,4.09049,4.0749,4.05989,4.04543,4.03151,4.01808,4.00513,3.99262,3.98055,3.96889,3.95761,3.9467,3.93615,3.92593,3.91604,3.90645,3.89715,3.88814,3.87939,3.8709,3.86266,3.85466,3.84688,3.83932,3.83197,3.82482,3.81786,3.81109,3.8045,3.79807,3.79182,3.78572,3.77978,3.77399,3.76833,3.76282,3.75744,3.58049,3.74309,3.92143,4.11157,4.30899,4.50853,4.65956,4.66191,4.46984,4.16002,3.84067,3.5676,3.35066,3.18151,3.0485,2.94136,2.852,2.77421,2.70319,2.63517,2.56719,2.49696,2.42284,2.34377,2.25932,2.16966,2.07553,1.97807,1.87867,1.77868,1.67906,1.58002,1.48062,1.37845,1.26998,1.15186,1.02374,0.89067,0.76223,0.64782,0.55243,0.47596,0.41542,0.36713,0.32792,0.29542,0.26797,0.24438,0.22386,0.20581,0.18982,0.17555,0.16276,0.15125,0.14084,0.13142,0.12285,0.11505,0.10792,0.10141,0.09543,0.08993,0.08488,0.08022,0.07591,0.07192,0.06823,0.0648,0.06161,0.05864,0.05586,0.05327,0.05085,0.04858,0.04645,0.04445,0.04256,0.04079,0.03911,0.03753,0.03603,0.03462,0.03327,0.032,0.03078,0.02963,0.02853,0.02748,0.02647,0.02552,0.0246,0.02372,0.02287,0.02207,0.02129,0.02054,0.01982,0.01912,0.01845,0.01781,0.01718,0.01658,0.01599,0.01543,0.0149,0.0144,0.01391
13,8,425,690,150,205.254,198.89,31.258,35.53,4.68E+20,196.508,1.75692,1.78733,1.84521,1.93118,2.04739,2.2062,2.41905,2.70879,3.11323,3.60873,4.07236,4.39403,4.56854,4.64735,4.67821,4.69024,4.69862,4.71063,4.72947,4.7562,4.79076,4.83239,4.87989,4.93175,4.98618,5.04128,5.09512,5.1459,5.19214,5.23286,5.2677,5.29701,5.32184,5.34376,5.3644,5.38476,5.40394,5.41794,5.41966,5.4016,5.36039,5.29913,5.22534,5.14694,5.06959,4.99627,4.92809,4.86513,4.80701,4.75324,4.7033,4.65675,4.61321,4.57236,4.53394,4.49771,4.46349,4.4311,4.40039,4.37124,4.34354,4.31717,4.29206,4.2681,4.24523,4.22337,4.20247,4.18246,4.16329,4.1449,4.12727,4.11033,4.09405,4.0784,4.06334,4.04884,4.03487,4.02141,4.00842,3.99588,3.98377,3.97208,3.96077,3.94984,3.93926,3.92902,3.9191,3.90949,3.90017,3.89114,3.88237,3.87387,3.86561,3.85758,3.84979,3.84222,3.83485,3.82768,3.82071,3.81393,3.80732,3.80089,3.79462,3.78851,3.78256,3.77675,3.77109,3.76557,3.76018,3.58193,3.74388,3.92083,4.11216,4.31,4.50782,4.65779,4.66017,4.46723,4.15552,3.83466,3.56109,3.34443,3.17602,3.04391,2.93768,2.84916,2.77208,2.70161,2.634,2.56629,2.49624,2.42223,2.34328,2.25902,2.16969,2.0761,1.97944,1.88114,1.78257,1.68466,1.58755,1.49021,1.39013,1.2836,1.16709,1.03992,0.9068,0.7771,0.66048,0.5625,0.48366,0.42125,0.37161,0.33147,0.29832,0.27039,0.24645,0.22563,0.20734,0.19114,0.17669,0.16375,0.1521,0.14158,0.13206,0.12342,0.11555,0.10837,0.1018,0.09578,0.09026,0.08518,0.0805,0.07617,0.07217,0.06847,0.06503,0.06183,0.05886,0.05608,0.05349,0.05106,0.04879,0.04666,0.04465,0.04277,0.04099,0.03931,0.03773,0.03623,0.03481,0.03347,0.03219,0.03097,0.02982,0.02872,0.02766,0.02666,0.0257,0.02478,0.0239,0.02305,0.02224,0.02146,0.02071,0.01998,0.01929,0.01861,0.01796,0.01734,0.01673,0.01614,0.01557,0.01503,0.01451,0.014
1,9,500,560,150,171.94,165.96,25.566,30.9,1.08E+21,169.056,1.80614,1.8144,1.8381,1.90863,2.04796,2.20836,2.38,2.65512,3.07434,3.56633,4.00823,4.32523,4.51921,4.62788,4.68776,4.72338,4.74902,4.77245,4.79777,4.827,4.86099,4.89989,4.94343,4.99101,5.0418,5.09477,5.14872,5.20232,5.25416,5.30278,5.34676,5.38473,5.41544,5.43775,5.45051,5.45248,5.442,5.41698,5.37561,5.31822,5.24872,5.17332,5.09746,5.02413,4.95438,4.88841,4.82629,4.76805,4.71368,4.66306,4.61598,4.57218,4.53136,4.49322,4.45747,4.42386,4.39217,4.36219,4.33377,4.30676,4.28103,4.25648,4.23301,4.21055,4.18903,4.16838,4.14855,4.12949,4.11116,4.09351,4.07651,4.06012,4.04431,4.02906,4.01434,4.00012,3.98638,3.97309,3.96024,3.9478,3.93576,3.9241,3.91281,3.90186,3.89125,3.88095,3.87097,3.86127,3.85186,3.84272,3.83384,3.82521,3.81682,3.80866,3.80072,3.793,3.78548,3.77817,3.77104,3.76409,3.75733,3.75073,3.7443,3.73803,3.73191,3.72594,3.72012,3.71443,3.70888,3.55403,3.74157,3.92874,4.08665,4.27977,4.51038,4.67306,4.66708,4.48613,4.2084,3.91745,3.65775,3.44086,3.26332,3.11743,2.99556,2.89127,2.79943,2.71594,2.6375,2.56144,2.48555,2.40801,2.32732,2.24232,2.15214,2.05624,1.95439,1.84665,1.73334,1.61498,1.49225,1.36588,1.2367,1.10579,0.97518,0.84873,0.73203,0.63029,0.54554,0.47624,0.4193,0.37197,0.33234,0.29909,0.27116,0.24761,0.22761,0.21042,0.19545,0.18225,0.17045,0.15979,0.15006,0.14112,0.13285,0.12519,0.11805,0.11139,0.10517,0.09935,0.0939,0.0888,0.08402,0.07954,0.07535,0.07141,0.06771,0.06425,0.061,0.05794,0.05507,0.05238,0.04984,0.04746,0.04522,0.04311,0.04112,0.03925,0.03748,0.03582,0.03425,0.03276,0.03136,0.03003,0.02877,0.02758,0.02646,0.02539,0.02437,0.02341,0.0225,0.02163,0.0208,0.02001,0.01926,0.01855,0.01787,0.01722,0.01659,0.016,0.01543,0.01489,0.01438,0.01397,0.01358,0.01321
5,9,500,560,150,171.624,164.63,25.727,31.14,1.06E+21,168.056,1.80182,1.81145,1.83649,1.90739,2.04544,2.20475,2.37704,2.65321,3.07259,3.56395,4.00539,4.32256,4.51696,4.62586,4.68567,4.721,4.74623,4.76925,4.79422,4.82319,4.85704,4.89595,4.93962,4.98745,5.03858,5.09192,5.14622,5.20011,5.25212,5.30077,5.34462,5.38234,5.41276,5.43483,5.44758,5.44988,5.4402,5.41635,5.37628,5.31999,5.25122,5.17619,5.10047,5.0272,4.95748,4.89153,4.82942,4.77117,4.71676,4.66608,4.61893,4.57503,4.5341,4.49585,4.45998,4.42626,4.39446,4.36438,4.33586,4.30876,4.28294,4.25831,4.23478,4.21226,4.19068,4.16998,4.15011,4.13101,4.11264,4.09497,4.07794,4.06154,4.04572,4.03046,4.01572,4.0015,3.98775,3.97446,3.96161,3.94917,3.93714,3.92548,3.9142,3.90326,3.89265,3.88237,3.87239,3.86271,3.85331,3.84418,3.83531,3.82669,3.81831,3.81017,3.80224,3.79453,3.78703,3.77972,3.77261,3.76568,3.75893,3.75234,3.74593,3.73967,3.73357,3.72761,3.7218,3.71613,3.71059,3.55432,3.74034,3.92659,4.0855,4.27976,4.51019,4.67203,4.6657,4.48519,4.20796,3.91708,3.65711,3.43989,3.26213,3.1162,2.99448,2.89051,2.79909,2.71608,2.63815,2.56259,2.48712,2.40991,2.32942,2.2445,2.15428,2.05827,1.9563,1.84849,1.73526,1.61721,1.49504,1.36948,1.24123,1.11118,0.98109,0.85462,0.73742,0.63494,0.54945,0.47954,0.42212,0.37439,0.33441,0.30085,0.27262,0.2488,0.22854,0.21112,0.19596,0.18258,0.17063,0.15984,0.15001,0.14099,0.13266,0.12494,0.11777,0.11109,0.10485,0.09902,0.09357,0.08848,0.0837,0.07923,0.07504,0.07112,0.06744,0.06399,0.06075,0.05771,0.05486,0.05218,0.04966,0.04729,0.04506,0.04297,0.04099,0.03913,0.03737,0.03572,0.03416,0.03268,0.03128,0.02996,0.02872,0.02753,0.02641,0.02535,0.02434,0.02338,0.02247,0.0216,0.02078,0.01999,0.01924,0.01853,0.01785,0.0172,0.01657,0.01598,0.01541,0.01487,0.01436,0.01395,0.01356,0.01318
13,9,500,560,150,169.988,165.15,26.137,31.6,1.00E+21,165.53,1.80129,1.81185,1.83866,1.91045,2.04746,2.20789,2.38352,2.6594,3.07617,3.56755,4.01102,4.32844,4.52077,4.62678,4.684,4.71739,4.74134,4.76363,4.78828,4.81722,4.85124,4.89039,4.93432,4.98234,5.03353,5.08675,5.14075,5.19413,5.24548,5.29338,5.33652,5.3737,5.40392,5.42629,5.43999,5.44399,5.43672,5.4159,5.37917,5.32605,5.2597,5.18599,5.11057,5.03692,4.96655,4.89996,4.83732,4.77867,4.72396,4.67306,4.62572,4.58165,4.54056,4.50213,4.4661,4.43222,4.40025,4.37001,4.34134,4.31408,4.28813,4.26337,4.23971,4.21708,4.1954,4.1746,4.15464,4.13547,4.11703,4.09929,4.0822,4.06574,4.04988,4.03457,4.0198,4.00554,3.99176,3.97844,3.96557,3.95311,3.94106,3.92938,3.91808,3.90713,3.89651,3.88621,3.87623,3.86654,3.85713,3.848,3.83912,3.8305,3.82212,3.81397,3.80604,3.79833,3.79083,3.78352,3.7764,3.76947,3.76272,3.75614,3.74972,3.74347,3.73737,3.73141,3.7256,3.71993,3.71439,3.55535,3.74018,3.92627,4.08718,4.28005,4.50677,4.66804,4.66326,4.48193,4.20166,3.9083,3.64747,3.43069,3.25408,3.10959,2.98932,2.88668,2.79641,2.71434,2.63712,2.56204,2.48689,2.40986,2.3295,2.24472,2.15477,2.05925,1.95805,1.85139,1.7397,1.62355,1.50356,1.38029,1.2542,1.12591,0.99684,0.87038,0.75203,0.64743,0.55936,0.48703,0.42773,0.3787,0.33789,0.30378,0.27518,0.25104,0.2305,0.21282,0.1974,0.18378,0.17161,0.16062,0.15061,0.14144,0.13298,0.12514,0.11788,0.11111,0.10481,0.09893,0.09344,0.08831,0.08351,0.07901,0.07481,0.07087,0.06718,0.06373,0.06048,0.05744,0.05459,0.0519,0.04938,0.04701,0.04479,0.04269,0.04071,0.03885,0.0371,0.03544,0.03387,0.0324,0.031,0.02967,0.02842,0.02724,0.02611,0.02504,0.02403,0.02307,0.02215,0.02128,0.02045,0.01966,0.0189,0.01818,0.0175,0.01684,0.01621,0.01561,0.01503,0.01448,0.01397,0.01357,0.01319,0.01282
1,10,500,820,150,337.856,331.84,34.584,38.05,3.18E+20,324.012,1.72689,1.74611,1.79678,1.89023,2.01003,2.14242,2.32656,2.62515,3.04902,3.52831,3.95776,4.27059,4.46254,4.56507,4.61385,4.63543,4.64641,4.65635,4.67044,4.69132,4.72005,4.75674,4.80077,4.85101,4.90589,4.96348,5.02165,5.0782,5.13106,5.17847,5.21923,5.25288,5.27975,5.30103,5.3186,5.33455,5.35019,5.36472,5.37435,5.37322,5.35616,5.32105,5.26957,5.20632,5.13686,5.06599,4.99687,4.93119,4.86962,4.81222,4.7588,4.70903,4.66258,4.61912,4.57835,4.54003,4.50392,4.46982,4.43757,4.40701,4.378,4.35044,4.32422,4.29924,4.27541,4.25266,4.23093,4.21013,4.19023,4.17115,4.15286,4.13531,4.11846,4.10226,4.08669,4.0717,4.05727,4.04336,4.02996,4.01703,4.00455,3.9925,3.98086,3.96961,3.95873,3.9482,3.93801,3.92814,3.91858,3.90931,3.90032,3.89161,3.88315,3.87493,3.86696,3.85921,3.85168,3.84436,3.83724,3.83032,3.82358,3.81701,3.81063,3.8044,3.79834,3.79243,3.78667,3.78105,3.77557,3.54638,3.71005,3.86818,4.04309,4.26131,4.48692,4.62874,4.60986,4.4297,4.1551,3.86205,3.59718,3.37657,3.19932,3.05833,2.94546,2.85335,2.77583,2.70777,2.64494,2.58384,2.52157,2.45586,2.38502,2.30804,2.22461,2.1351,2.04053,1.94242,1.84257,1.74277,1.6444,1.548,1.45272,1.35603,1.25431,1.14459,1.02698,0.9055,0.78667,0.67715,0.58151,0.50134,0.43567,0.38223,0.33854,0.30239,0.27206,0.24624,0.22398,0.20458,0.1875,0.17235,0.15884,0.14671,0.13577,0.12588,0.1169,0.10872,0.10125,0.09442,0.08815,0.08239,0.07708,0.07218,0.06766,0.06347,0.05958,0.05596,0.0526,0.04947,0.04654,0.04381,0.04125,0.03885,0.03659,0.03447,0.03247,0.03059,0.02881,0.02713,0.02554,0.02403,0.0226,0.02124,0.01995,0.01872,0.01754,0.01642,0.01535,0.01432,0.01333,0.01239,0.01148,0.01061,0.00978,0.00897,0.00819,0.00744,0.00672,0.00602,0.00534,0.00468,0.00407,0.0036,0.00315,0.0027
5,10,500,820,150,338.904,334.73,34.696,38.28,3.08E+20,324.817,1.72673,1.74597,1.7967,1.89023,2.00993,2.14239,2.32676,2.6252,3.04867,3.52774,3.95718,4.26995,4.46174,4.56403,4.61258,4.63396,4.64477,4.65458,4.66858,4.6894,4.71811,4.75479,4.79883,4.84908,4.90397,4.96157,5.01975,5.07629,5.12912,5.1765,5.21725,5.25088,5.27777,5.29913,5.31685,5.33303,5.34902,5.36405,5.37429,5.37384,5.35743,5.32281,5.27162,5.20846,5.13899,5.06805,4.99885,4.93309,4.87145,4.81399,4.76051,4.71069,4.66419,4.62068,4.57987,4.5415,4.50534,4.4712,4.43891,4.40831,4.37928,4.35168,4.32543,4.30042,4.27656,4.25379,4.23203,4.21121,4.19129,4.1722,4.15389,4.13632,4.11945,4.10324,4.08765,4.07265,4.05821,4.0443,4.03088,4.01794,4.00546,3.9934,3.98175,3.9705,3.95961,3.94908,3.93888,3.92901,3.91944,3.91017,3.90118,3.89246,3.884,3.87578,3.8678,3.86005,3.85252,3.8452,3.83808,3.83115,3.82441,3.81785,3.81145,3.80523,3.79916,3.79325,3.78749,3.78187,3.77639,3.54594,3.70948,3.8675,4.0425,4.26048,4.48566,4.62737,4.60863,4.42854,4.15386,3.86072,3.59584,3.37529,3.19817,3.05734,2.94465,2.85274,2.7754,2.70753,2.64488,2.58393,2.52181,2.45623,2.38551,2.30865,2.22535,2.13598,2.04158,1.94367,1.84406,1.74454,1.64651,1.55047,1.45556,1.35924,1.25782,1.14828,1.03065,0.90891,0.78966,0.67962,0.58351,0.50295,0.43698,0.38332,0.33945,0.30317,0.27272,0.2468,0.22445,0.20496,0.18781,0.17261,0.15903,0.14685,0.13587,0.12594,0.11693,0.10872,0.10122,0.09437,0.08808,0.0823,0.07698,0.07206,0.06753,0.06332,0.05942,0.0558,0.05243,0.04929,0.04636,0.04362,0.04105,0.03865,0.03639,0.03426,0.03226,0.03037,0.02859,0.02691,0.02531,0.0238,0.02237,0.021,0.01971,0.01847,0.01729,0.01617,0.01509,0.01406,0.01307,0.01213,0.01122,0.01035,0.0095,0.0087,0.00792,0.00716,0.00643,0.00573,0.00505,0.00439,0.00378,0.00332,0.00287,0.00243
13,10,500,820,150,333.99,327.85,34.981,38.54,2.98E+20,320.54,1.72257,1.73974,1.79455,1.8944,2.01444,2.14191,2.32543,2.62842,3.05542,3.5336,3.96058,4.27217,4.46386,4.56625,4.61473,4.63585,4.6463,4.65568,4.66924,4.6896,4.71783,4.75399,4.79746,4.84705,4.90117,4.95791,5.01511,5.07061,5.12236,5.16866,5.20838,5.24111,5.26726,5.28808,5.30554,5.32184,5.33852,5.35515,5.36834,5.37228,5.36111,5.33141,5.28374,5.22235,5.1532,5.08169,5.01151,4.94466,4.88197,4.82356,4.76925,4.71871,4.67159,4.62754,4.58626,4.54748,4.51097,4.47651,4.44394,4.41309,4.38382,4.35603,4.32958,4.3044,4.28039,4.25747,4.23558,4.21464,4.19459,4.17539,4.15698,4.13932,4.12235,4.10605,4.09038,4.0753,4.06078,4.04679,4.03331,4.0203,4.00775,3.99563,3.98392,3.9726,3.96166,3.95107,3.94082,3.93089,3.92128,3.91195,3.90292,3.89415,3.88564,3.87738,3.86936,3.86156,3.85399,3.84663,3.83946,3.8325,3.82572,3.81912,3.81269,3.80643,3.80033,3.79438,3.78858,3.78293,3.77742,3.54893,3.71222,3.86524,4.04022,4.26344,4.49103,4.62983,4.60751,4.42668,4.15284,3.86031,3.59549,3.37473,3.19735,3.0563,2.94346,2.85145,2.77403,2.70609,2.64337,2.58237,2.52022,2.45466,2.38406,2.30746,2.22459,2.13587,2.04237,1.94562,1.84744,1.74962,1.65355,1.55977,1.46745,1.37409,1.27593,1.16952,1.05405,0.93263,0.81154,0.69813,0.59815,0.51405,0.44526,0.38952,0.34419,0.30689,0.27574,0.24934,0.22665,0.20693,0.18961,0.17428,0.16062,0.14838,0.13736,0.1274,0.11837,0.11014,0.10264,0.09578,0.08949,0.0837,0.07838,0.07347,0.06893,0.06473,0.06084,0.05722,0.05385,0.05072,0.04779,0.04505,0.04249,0.04009,0.03783,0.03571,0.03371,0.03183,0.03006,0.02838,0.02679,0.02528,0.02385,0.02249,0.0212,0.01997,0.0188,0.01768,0.01661,0.01559,0.01461,0.01367,0.01277,0.0119,0.01107,0.01027,0.00949,0.00875,0.00803,0.00733,0.00666,0.00601,0.00539,0.00484,0.0043,0.00377
